City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Balabac,PH,86.5,broken clouds,7.9868,117.0645,Sing and Swing Lodge
4,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
5,Georgetown,MY,89.53,few clouds,5.4112,100.3354,Cititel Penang
6,Wanning,CN,88.92,overcast clouds,18.8003,110.3967,Paradise Hotel
8,Kapaa,US,84.18,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
13,Erzin,TR,79.52,clear sky,36.9559,36.2,Artemis Otel
15,Yellowknife,CA,76.28,clear sky,62.456,-114.3525,The Explorer Hotel
26,Butaritari,KI,83.32,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
27,Hithadhoo,MV,81.59,broken clouds,-0.6,73.0833,Scoop Guest House
28,Altay,CN,76.05,clear sky,47.8667,88.1167,Jinqiao Hotel
31,Veraval,IN,82.11,overcast clouds,20.9,70.3667,Lords Inn Somnath
35,Balkhash,KZ,86.61,clear sky,46.844,74.9804,Family
39,Bambanglipuro,ID,82.54,light rain,-7.95,110.2833,Puri Brata
44,Kieta,PG,82.63,light rain,-6.2167,155.6333,Uruna Bay Retreat
45,Kahului,US,77.97,clear sky,20.8947,-156.47,Maui Seaside Hotel
53,Cabo San Lucas,MX,87.51,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
64,Mahdasht,IR,77.22,clear sky,35.7299,50.8111,مشاور املاک مهدی
65,Buchanan,LR,75.83,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
66,Atuona,PF,77.43,few clouds,-9.8,-139.0333,Villa Enata
69,Hervey Bay,AU,79.03,clear sky,-25.2986,152.8535,Shelly Bay Resort
71,Kokopo,PG,84.58,light rain,-4.352,152.2633,Kokopo Beach Bungalow Resort
72,Hilo,US,76.24,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
77,Kavaratti,IN,82.4,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
86,Virginia Beach,US,76.01,broken clouds,36.8529,-75.978,Hilton Virginia Beach Oceanfront
87,Avarua,CK,77.05,light rain,-21.2078,-159.775,Paradise Inn
88,Portland,US,82.42,few clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
96,Pundaguitan,PH,84.7,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
99,Coahuayana,MX,79.54,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
100,Isangel,VU,75.31,broken clouds,-19.55,169.2667,Tanna Lodge
103,Kudahuvadhoo,MV,81.99,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
104,Road Town,VG,80.2,clear sky,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
109,Sao Filipe,CV,75.25,few clouds,14.8961,-24.4956,Hotel Xaguate
119,Robertsport,LR,77.67,overcast clouds,6.7533,-11.3686,Kwepunha Retreat
133,Boa Vista,BR,75.18,overcast clouds,2.8197,-60.6733,Aipana Plaza Hotel
137,Biak,ID,82.51,few clouds,-0.9131,122.8766,Penginapan Kim
140,Denpasar,ID,80.26,broken clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
142,Bilma,NE,88.2,clear sky,18.6853,12.9164,Expeditions Ténére voyages
143,San Patricio,US,86.09,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
144,Rantepao,ID,76.35,overcast clouds,-2.9701,119.8978,Hotel Luta Resort
147,Najran,SA,80.44,broken clouds,17.4924,44.1277,محمد هادي ال فطيح
149,Teknaf,BD,80.51,overcast clouds,20.8624,92.3058,Forestry Guesthouse
151,Wilmington,US,75.11,light rain,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
156,Komsomolskiy,UZ,83.12,few clouds,40.4272,71.7189,Ikathouse
170,Camocim,BR,76.62,scattered clouds,-2.9022,-40.8411,Hotel Ilha do Amor
174,Weligama,LK,82.83,broken clouds,5.9667,80.4167,Weligama Bay Resort
175,Dingle,PH,89.44,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
176,Itarema,BR,75.11,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
185,Meadow Lake,US,75.52,few clouds,34.8014,-106.5436,JKL Inc. R.V Park and Storage
187,Salamiyah,SY,76.8,clear sky,35.0113,37.0532,Gondolas Forum grandchildren and grandparents
189,Ciudad Bolivar,VE,76.14,overcast clouds,8.1222,-63.5497,Hotel Edi
191,Xining,CN,78.94,broken clouds,36.6167,101.7667,Super Leisure Hotel
193,Jackson,US,80.47,clear sky,42.4165,-122.8345,Agate Village Apartments
196,Norman Wells,CA,80.01,clear sky,65.282,-126.8329,Heritage Hotel
199,Katsuura,JP,87.91,broken clouds,35.1333,140.3,Katsuura Hotel Mikazuki
201,Uhlove,UA,75.56,clear sky,44.8215,33.6045,Tavryda
203,Kaohsiung,TW,82.35,light intensity shower rain,22.6163,120.3133,御宿商旅-中山館
205,Bata,GQ,75.72,light rain,1.8639,9.7658,Hotel Elik Melen
206,Nizwa,OM,89.73,overcast clouds,22.9333,57.5333,Orient Apartments
209,Boyolangu,ID,80.24,broken clouds,-8.1181,111.8935,Yos ega cv
216,Port-Gentil,GA,76.59,overcast clouds,-0.7193,8.7815,Fengshui Residence
