City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Puerto Ayora,EC,-0.7393,-90.3518,70.56,92,43,1.99,scattered clouds
1,Kyzyl,RU,51.7,94.45,72.05,41,69,10.11,broken clouds
2,New Norfolk,AU,-42.7826,147.0587,56.7,47,76,5.68,broken clouds
3,Balabac,PH,7.9868,117.0645,86.5,70,55,17.81,broken clouds
4,Bathsheba,BB,13.2167,-59.5167,81.21,78,40,11.5,scattered clouds
5,Georgetown,MY,5.4112,100.3354,89.53,70,20,1.01,few clouds
6,Wanning,CN,18.8003,110.3967,88.92,64,100,13.65,overcast clouds
7,Yabelo,ET,4.8833,38.0833,55.2,76,97,9.62,overcast clouds
8,Kapaa,US,22.0752,-159.319,84.18,77,75,3.0,broken clouds
9,Constitucion,CL,-35.3333,-72.4167,52.36,63,0,5.95,clear sky
10,Ushuaia,AR,-54.8,-68.3,34.97,86,45,6.49,scattered clouds
11,Rikitea,PF,-23.1203,-134.9692,69.35,56,2,20.96,clear sky
12,Vaini,TO,-21.2,-175.2,73.56,78,20,14.97,few clouds
13,Erzin,TR,36.9559,36.2,79.52,62,0,0.29,clear sky
14,Hamilton,US,39.1834,-84.5333,65.95,80,1,0.0,clear sky
15,Yellowknife,CA,62.456,-114.3525,76.28,46,3,6.96,clear sky
16,Pangkalanbuun,ID,-2.6833,111.6167,91.47,46,67,4.45,broken clouds
17,Salo,IT,45.6086,10.531,64.49,70,39,7.65,scattered clouds
18,Busselton,AU,-33.65,115.3333,56.08,69,100,9.55,overcast clouds
19,Qaanaaq,GL,77.484,-69.3632,40.39,87,75,3.2,broken clouds
20,Erenhot,CN,43.6475,111.9767,74.53,33,99,12.66,overcast clouds
21,Albany,US,42.6001,-73.9662,64.27,94,100,1.03,overcast clouds
22,Tolaga Bay,NZ,-38.3667,178.3,56.43,69,6,8.14,clear sky
23,Leningradskiy,RU,69.3833,178.4167,33.44,99,100,17.07,snow
24,East London,ZA,-33.0153,27.9116,62.19,71,83,14.34,light rain
25,Evensk,RU,61.95,159.2333,53.04,66,100,15.64,overcast clouds
26,Butaritari,KI,3.0707,172.7902,83.32,68,45,7.74,scattered clouds
27,Hithadhoo,MV,-0.6,73.0833,81.59,72,82,7.11,broken clouds
28,Altay,CN,47.8667,88.1167,76.05,28,1,6.08,clear sky
29,Carnarvon,AU,-24.8667,113.6333,63.19,37,0,18.5,clear sky
30,Omihachiman,JP,35.1286,136.0976,92.37,59,92,8.05,overcast clouds
31,Veraval,IN,20.9,70.3667,82.11,84,100,19.75,overcast clouds
32,Punta Arenas,CL,-53.15,-70.9167,39.31,81,40,12.66,scattered clouds
33,Comodoro Rivadavia,AR,-45.8667,-67.5,57.06,28,0,19.57,clear sky
34,Talakan,RU,50.3167,130.3667,68.0,97,100,1.59,overcast clouds
35,Balkhash,KZ,46.844,74.9804,86.61,23,0,13.42,clear sky
36,Marovoay,MG,-16.1,46.6333,68.14,65,21,4.54,few clouds
37,Coihaique,CL,-45.5752,-72.0662,48.15,76,90,6.91,light rain
38,Barrow,US,71.2906,-156.7887,44.62,81,90,12.66,overcast clouds
39,Bambanglipuro,ID,-7.95,110.2833,82.54,67,58,14.74,light rain
40,Chara,RU,56.9064,118.2631,57.04,74,98,3.04,overcast clouds
41,Hermanus,ZA,-34.4187,19.2345,55.8,88,77,10.09,broken clouds
42,Lebu,CL,-37.6167,-73.65,49.24,82,5,16.28,clear sky
43,Valparaiso,CL,-33.0393,-71.6273,50.47,83,0,5.75,clear sky
44,Kieta,PG,-6.2167,155.6333,82.63,78,26,6.46,light rain
45,Kahului,US,20.8947,-156.47,77.97,82,3,14.54,clear sky
46,Yuancheng,CN,36.652,107.7896,85.71,28,59,9.33,broken clouds
47,Longyearbyen,SJ,78.2186,15.6401,44.44,76,40,10.36,scattered clouds
48,Poum,NC,-20.2333,164.0167,70.03,58,1,14.12,clear sky
49,Mataura,NZ,-46.1927,168.8643,44.47,91,100,6.73,light rain
50,Port Alfred,ZA,-33.5906,26.891,59.94,85,88,10.4,light rain
51,Sorland,NO,67.667,12.6934,49.19,76,100,14.38,overcast clouds
52,Arraial Do Cabo,BR,-22.9661,-42.0278,65.64,73,22,13.82,few clouds
